institucion,email_colector,kit,estacion,nombre,fecha,color,I-Hol,% O2,DBO,NH4,pts PSO,pts DBO,pts NH4,I_Hol2,col2,CF,DQO,EC,PO4,GYA,pH,SD,Ssed,SST,ST,SAAM,T,Aforo
Curridabat-Municipalidad,josem.retana@curridabat.go.cr,otro,Estación 1,MONTERAN,10/12/15 00:00,Anaranjado,11,28.7,4,0.41,5,2,1,8,AMARILLO,50000,45,17000,0.27,5,6.88,ND,0.5,15,ND,0.1,26.3,ND
Curridabat-Municipalidad,josem.retana@curridabat.go.cr,otro,Estación 2,Q-Pio,10/12/15 00:00,Verde,5,54.7,2,0.1,3,1,1,5,VERDE,30000,40,24000,0.55,10.8,7.03,ND,0.5,15,ND,0.04,26.7,ND
Curridabat-Municipalidad,josem.retana@curridabat.go.cr,otro,Estación 3,Parq Pinares,10/12/15 00:00,Verde,5,55.5,2,0.13,3,1,1,5,VERDE,13000,43,13000,0.25,5,7,ND,0.05,15,ND,0.05,26.5,ND
Curridabat-Municipalidad,josem.retana@curridabat.go.cr,otro,Estación 4,Tacaco,10/12/15 00:00,Verde,5,56.4,3,0.05,3,1,1,5,VERDE,50000,44,24000,0.36,5,6.68,ND,0.5,15,ND,0.1,26.1,ND
Curridabat-Municipalidad,josem.retana@curridabat.go.cr,otro,Estación 5,Hortifruti,10/12/15 00:00,Verde,5,50.1,2,0.07,3,1,1,5,VERDE,24000,38,8000,0.23,5,7,ND,0.5,15,ND,0.1,26,ND
Curridabat-Municipalidad,josem.retana@curridabat.go.cr,otro,Estación 6,Montesacro,10/12/15 00:00,Verde,5,51.4,3,0.2,3,1,1,5,VERDE,160000,14,90000,0.28,6.5,7.23,ND,0.5,15,ND,0.1,26.6,ND
Curridabat-Municipalidad,josem.retana@curridabat.go.cr,otro,Estación 1,MONTERAN,10/12/15 00:00,Anaranjado,11,28.7,4,0.41,5,2,1,8,AMARILLO,50000,45,17000,0.27,5,6.88,ND,0.5,15,ND,0.1,26.3,ND
Curridabat-Municipalidad,josem.retana@curridabat.go.cr,otro,Estación 2,Q-Pio,10/12/15 00:00,Verde,5,54.7,2,0.1,3,1,1,5,VERDE,30000,40,24000,0.55,10.8,7.03,ND,0.5,15,ND,0.04,26.7,ND
Curridabat-Municipalidad,josem.retana@curridabat.go.cr,otro,Estación 3,Parq Pinares,10/12/15 00:00,Verde,5,55.5,2,0.13,3,1,1,5,VERDE,13000,43,13000,0.25,5,7,ND,0.05,15,ND,0.05,26.5,ND
Curridabat-Municipalidad,josem.retana@curridabat.go.cr,otro,Estación 4,Tacaco,10/12/15 00:00,Verde,5,56.4,3,0.05,3,1,1,5,VERDE,50000,44,24000,0.36,5,6.68,ND,0.5,15,ND,0.1,26.1,ND
Curridabat-Municipalidad,josem.retana@curridabat.go.cr,otro,Estación 5,Hortifruti,10/12/15 00:00,Verde,5,50.1,2,0.07,3,1,1,5,VERDE,24000,38,8000,0.23,5,7,ND,0.5,15,ND,0.1,26,ND
Curridabat-Municipalidad,josem.retana@curridabat.go.cr,otro,Estación 6,Montesacro,10/12/15 00:00,Verde,5,51.4,3,0.2,3,1,1,5,VERDE,160000,14,90000,0.28,6.5,7.23,ND,0.5,15,ND,0.1,26.6,ND
Curridabat-Municipalidad,josem.retana@curridabat.go.cr,otro,Estación 1,MONTERAN,10/12/15 00:00,Anaranjado,11,28.7,4,0.41,5,2,1,8,AMARILLO,50000,45,17000,0.27,5,6.88,ND,0.5,15,ND,0.1,26.3,ND
Curridabat-Municipalidad,josem.retana@curridabat.go.cr,otro,Estación 2,Q-Pio,10/12/15 00:00,Verde,5,54.7,2,0.1,3,1,1,5,VERDE,30000,40,24000,0.55,10.8,7.03,ND,0.5,15,ND,0.04,26.7,ND
Curridabat-Municipalidad,josem.retana@curridabat.go.cr,otro,Estación 3,Parq Pinares,10/12/15 00:00,Verde,5,55.5,2,0.13,3,1,1,5,VERDE,13000,43,13000,0.25,5,7,ND,0.05,15,ND,0.05,26.5,ND
