institucion,email_colector,kit,Sitio de Muestreo,Fecha,Coliformes Totales/ Fecales   NMP/100mL,Escherichia coli       NMP/100mL,Demanda bioquímica de oxígeno mg/L,Demanda química de oxígeno mg/L,Grasas y aceites mg/L,Sólidos sedimentales mg/L,Sólidos suspendidos totales mg/L,Amonio  mg/L,Fosfatos mg/L,Sustancias activas azul metileno mg/L,Concentración de iones hidrógeno pH,Temperatura °C,Saturación de Oxígeno %,Oxígeno disuelto mg/L,,,,,,,
Curridabat-Municipalidad,josem.retana@curridabat.go.cr,otro,Itaba,2016-06-22,300000,170000,17,72,<5.0,<0.5,119,0.91,3.11,<0.10,,21.3,62.5,5.49,,,,,,,
Curridabat-Municipalidad,josem.retana@curridabat.go.cr,otro,Puente Colonia,2016-06-22,900000,130000,28,48,5,<0.5,29,0.72,2.62,0.44,,21,63.3,5.69,,,,,,,
Curridabat-Municipalidad,josem.retana@curridabat.go.cr,otro,Solis,2016-06-22,500000,300000,22,49,<5.0,<0.5,45,0.88,2.54,0.33,,21.2,62.5,5.58,,,,,,,
Curridabat-Municipalidad,josem.retana@curridabat.go.cr,otro,Lomas del Sol,2016-06-22,1600000,1600000,18,49,6,<0.5,21,0.57,2.94,0.23,,21.4,54.7,4.87,,,,,,,
Curridabat-Municipalidad,josem.retana@curridabat.go.cr,otro,Chaguite,2016-06-22,30000,30000,4,<14,<5.0,<0.5,<15,0.63,3.38,0.28,,21.5,53.4,4.69,,,,,,,
Curridabat-Municipalidad,josem.retana@curridabat.go.cr,otro,Canal Lomas,2016-06-22,1600000,500000,8,17,7,<0.5,<15,1.99,2.39,2.62,,22.3,40.8,3.62,,,,,,,
Curridabat-Municipalidad,josem.retana@curridabat.go.cr,otro,Parque Amistad,2016-06-22,900000,240000,15,36,7.7,<0.5,114,0.67,2.18,0.46,,21.4,55.3,4.81,,,,,,,
Curridabat-Municipalidad,josem.retana@curridabat.go.cr,otro,Bilbaína,2016-06-22,1600000,900000,11,41,5.8,<0.5,40,0.76,0.89,0.31,,21.1,57,5.13,,,,,,,
Curridabat-Municipalidad,josem.retana@curridabat.go.cr,otro,La Colina,2016-06-22,500000,240000,15,54,<5.0,<0.5,<15,0.65,0.67,0.52,,21.9,64.4,4.65,,,,,,,
Curridabat-Municipalidad,josem.retana@curridabat.go.cr,otro,San Antonio,2016-06-22,1600000,300000,11,45,<5.0,<0.5,54,0.62,2.1,0.45,,21.5,63.9,5.37,,,,,,,
Curridabat-Municipalidad,josem.retana@curridabat.go.cr,otro,Itaba,2016-06-01,8000,4000,,,,,,,,,,23.6,65.9,5.61,,,,,,,
Curridabat-Municipalidad,josem.retana@curridabat.go.cr,otro,Lomas del Sol,2016-06-01,34000,11000,17,92,<5,1,30,0.15,3.11,<0.10,7.01,24.2,44.3,3.78,,,,,,,
Curridabat-Municipalidad,josem.retana@curridabat.go.cr,otro,San Antonio,2016-06-01,30000,23000,,,,,,,,,,27.5,37.5,2.98,,,,,,,
Curridabat-Municipalidad,josem.retana@curridabat.go.cr,otro,Solis,2016-06-01,13000,2000,,,,,,,,,,24.6,44.2,3.64,,,,,,,
